,match_id,game_mode,queue_id,platform_id,game_duration_in_ms,game_duration_in_min,win,surrender,total_blue_kills,total_red_kills,total_blue_assists,total_red_assists,total_blue_gold_earned,total_red_gold_earned,total_blue_minions_killed,total_red_minions_killed,total_blue_turret_kills,total_red_turret_kills,total_blue_dragon_kills,total_red_dragon_kills,total_blue_damage_dealt_to_champions,total_red_damage_dealt_to_champions,total_blue_baron_kills,total_red_baron_kills,avg_blue_champ_level,avg_red_champ_level,total_blue_inhibitor_kills,total_red_inhibitor_kills,total_blue_items_purchased,total_red_items_purchased
1736,EUN1_3571589540,CLASSIC,420,EUN1,1771,29.52,red,False,21,45,34,52,50865,65589,622,751,3,8,2,2,88121,123158,0,0,13.6,15.6,0,3,122,100
1737,EUN1_3591471554,CLASSIC,420,EUN1,1622,27.03,blue,False,21,20,36,19,57193,45453,641,605,10,0,4,0,90411,70220,1,0,14.6,13.4,3,0,101,96
1738,EUN1_3587143587,CLASSIC,420,EUN1,1446,24.1,red,False,17,36,18,26,39603,54438,448,560,1,11,0,3,54447,97085,0,0,12.4,13.6,0,2,81,82
1739,EUN1_3596189943,CLASSIC,420,EUN1,1369,22.82,blue,False,28,9,28,8,52439,37350,557,499,10,0,2,0,58246,41821,1,0,14.0,11.4,2,0,79,83
1740,EUN1_3580793854,CLASSIC,420,EUN1,1503,25.05,red,False,16,41,33,59,41829,60619,544,592,0,10,0,4,75214,94330,0,1,11.8,13.8,0,2,94,104
1741,EUN1_3568324422,CLASSIC,420,EUN1,2186,36.43,red,False,33,40,41,67,74187,77431,830,863,10,6,2,3,123592,181647,1,1,16.6,17.6,2,1,123,106
1742,EUN1_3594300772,CLASSIC,420,EUN1,1574,26.23,red,False,29,36,31,43,49203,58688,535,563,1,11,1,3,74131,100216,0,1,13.2,14.6,0,2,101,101
1743,EUN1_3581889247,CLASSIC,420,EUN1,2011,33.52,blue,False,41,30,80,51,70698,68115,775,823,7,3,3,1,144797,129460,0,1,16.6,16.6,2,0,124,126
1744,EUN1_3588450100,CLASSIC,420,EUN1,1845,30.75,red,False,37,43,66,41,59702,69457,623,688,3,9,0,4,124430,144331,0,2,15.0,16.2,0,1,117,121
1745,EUN1_3584282549,CLASSIC,420,EUN1,2403,40.05,blue,False,44,28,65,49,80699,71670,814,800,10,4,4,1,177023,201948,1,2,17.8,17.0,2,0,123,125
1746,EUN1_3579657010,CLASSIC,420,EUN1,1828,30.47,blue,False,38,22,49,30,68548,55223,689,697,10,4,4,1,138845,117320,2,0,15.8,14.0,2,0,121,118
1747,EUN1_3594393667,CLASSIC,420,EUN1,1764,29.4,red,True,29,50,28,58,57203,66594,633,596,1,7,1,4,106764,134745,1,1,15.0,15.8,0,1,104,108
1748,EUN1_3568011546,CLASSIC,420,EUN1,1925,32.08,red,False,29,41,55,57,63049,73428,774,735,1,11,0,4,147433,145515,0,2,16.0,16.8,0,4,119,113
1749,EUN1_3550697537,CLASSIC,420,EUN1,2166,36.1,blue,False,39,30,45,38,79364,72301,837,907,10,5,3,2,145125,135765,2,0,17.2,16.4,4,0,130,149
1750,EUN1_3570056122,CLASSIC,420,EUN1,1747,29.12,red,False,23,43,34,70,53536,66824,632,668,2,10,2,2,95023,131639,0,1,14.0,15.6,0,1,98,107
1751,EUN1_3553954048,CLASSIC,420,EUN1,1607,26.78,red,True,20,33,31,60,47161,58076,558,607,3,7,2,2,80280,100543,0,1,12.8,14.4,0,1,107,92
1752,EUN1_3563707907,CLASSIC,420,EUN1,1838,30.63,blue,False,38,36,69,45,66107,63282,630,709,6,6,2,3,102857,102900,2,0,16.4,14.8,1,0,128,116
1753,EUN1_3584744175,CLASSIC,420,EUN1,1741,29.02,red,False,25,42,42,47,51744,67590,553,591,1,11,2,3,85909,121539,0,2,13.6,15.4,0,3,128,105
1754,EUN1_3596414112,CLASSIC,420,EUN1,1187,19.78,blue,True,25,11,22,13,44788,32604,525,412,7,0,1,1,51262,43887,0,0,11.6,10.4,1,0,83,78
1755,EUN1_3592596032,CLASSIC,420,EUN1,1870,31.17,red,False,24,42,21,69,57106,72610,740,706,3,9,0,5,117135,123094,0,2,15.0,16.8,0,1,106,117
1756,EUN1_3547718062,CLASSIC,420,EUN1,1417,23.62,red,False,17,27,33,45,44746,51984,515,548,3,8,2,1,52140,74346,0,1,12.2,13.0,0,1,100,88
1757,EUN1_3586790476,CLASSIC,420,EUN1,1983,33.05,blue,False,55,31,92,35,74402,66316,687,801,10,4,2,2,162178,131593,1,0,17.0,16.2,2,0,109,126
1758,EUN1_3575997255,CLASSIC,420,EUN1,1775,29.58,red,False,25,45,33,42,56588,64772,699,673,2,11,1,3,98085,137316,0,1,14.8,15.8,0,2,112,108
1759,EUN1_3590879831,CLASSIC,420,EUN1,1780,29.67,blue,True,39,24,51,28,65546,57070,655,729,10,4,3,1,110998,82730,1,0,16.0,14.2,2,0,105,99
